Name,Country_code,Country,Cultural_Group,Cleaned_Name,Token_Count
 Katherine Jacobs,ar_EG,EG,African,Katherine Jacobs,3
 Kristina Sanchez,ar_EG,EG,African,Kristina Sanchez,3
 Donna Shannon,ar_EG,EG,African,Donna Shannon,3
 Rachel Johnson,ar_EG,EG,African,Rachel Johnson,2
 Barbara Solomon,ar_EG,EG,African,Barbara Solomon,3
 Ronald Stanley,ar_EG,EG,African,Ronald Stanley,3
 Chloe Oliver,ar_EG,EG,African,Chloe Oliver,3
 Jonathan Ryan,ar_EG,EG,African,Jonathan Ryan,2
 Elizabeth Wallace,ar_EG,EG,African,Elizabeth Wallace,2
 Dominique Cox,ar_EG,EG,African,Dominique Cox,3
Debra Parker,ar_EG,EG,African,Debra Parker,3
 Kristen Holden,ar_EG,EG,African,Kristen Holden,3
 Kristin Riley,ar_EG,EG,African,Kristin Riley,3
 Charles Morton,ar_EG,EG,African,Charles Morton,2
 Donald Best,ar_EG,EG,African,Donald Best,2
 Andrew Williamson,ar_EG,EG,African,Andrew Williamson,2
 Jill Gray,ar_EG,EG,African,Jill Gray,3
 Anthony Kemp,ar_EG,EG,African,Anthony Kemp,2
 Karen Dickerson,ar_EG,EG,African,Karen Dickerson,3
 Mrs. Jessica Lester DDS,ar_EG,EG,African,Jessica Lester DDS,3
 Carlos Reyes,ar_EG,EG,African,Carlos Reyes,2
 Angela Mosley,ar_EG,EG,African,Angela Mosley,4
 Melinda Crawford,ar_EG,EG,African,Melinda Crawford,3
 Kathleen Stephens,ar_EG,EG,African,Kathleen Stephens,4
 Mr. Shawn Graham,ar_EG,EG,African,Shawn Graham,3
 Shannon King,ar_EG,EG,African,Shannon King,3
 Jason Bell,ar_EG,EG,African,Jason Bell,2
 Ronald King,ar_EG,EG,African,Ronald King,3
Kevin Evans,ar_EG,EG,African,Kevin Evans,2
 Dennis Mcmillan,ar_EG,EG,African,Dennis Mcmillan,5
 Christopher Waters,ar_EG,EG,African,Christopher Waters,2
 Laura Calderon,ar_EG,EG,African,Laura Calderon,3
 Michael Marsh,ar_EG,EG,African,Michael Marsh,2
 James Nguyen,ar_EG,EG,African,James Nguyen,2
Vanessa Tucker,ar_EG,EG,African,Vanessa Tucker,3
 Benjamin Mcconnell,ar_EG,EG,African,Benjamin Mcconnell,5
 Sharon Schultz,ar_EG,EG,African,Sharon Schultz,3
 Dean James,ar_EG,EG,African,Dean James,2
 Bradley Hill,ar_EG,EG,African,Bradley Hill,3
 Mark Hill,ar_EG,EG,African,Mark Hill,2
 Douglas Boyd,ar_EG,EG,African,Douglas Boyd,3
 Lisa Williams,ar_EG,EG,African,Lisa Williams,2
 Jacob Martin,ar_EG,EG,African,Jacob Martin,2
 Annette Vasquez,ar_EG,EG,African,Annette Vasquez,4
 Cory George,ar_EG,EG,African,Cory George,3
 Jose Watts,ar_EG,EG,African,Jose Watts,2
 Timothy Potter,ar_EG,EG,African,Timothy Potter,3
 Cheryl Armstrong,ar_EG,EG,African,Cheryl Armstrong,3
 Stacey Moore,ar_EG,EG,African,Stacey Moore,3
 Roy Hobbs,ar_EG,EG,African,Roy Hobbs,3
 William Donovan,ar_EG,EG,African,William Donovan,2
 Tanya Phillips,ar_EG,EG,African,Tanya Phillips,3
 Jason Madden,ar_EG,EG,African,Jason Madden,2
 Steven Aguirre,ar_EG,EG,African,Steven Aguirre,4
 Tyler Bishop,ar_EG,EG,African,Tyler Bishop,2
 Micheal Salazar,ar_EG,EG,African,Micheal Salazar,5
 Kaitlyn Davis,ar_EG,EG,African,Kaitlyn Davis,4
 Brittany Neal,ar_EG,EG,African,Brittany Neal,4
 Peter Adams,ar_EG,EG,African,Peter Adams,2
 James Valentine,ar_EG,EG,African,James Valentine,2
 Jesse Fox,ar_EG,EG,African,Jesse Fox,3
 Frank Peterson,ar_EG,EG,African,Frank Peterson,2
 Kristina Miller,ar_EG,EG,African,Kristina Miller,3
 Benjamin Conley,ar_EG,EG,African,Benjamin Conley,4
 Haley Miller,ar_EG,EG,African,Haley Miller,3
 Brian Lee,ar_EG,EG,African,Brian Lee,2
 John Garrett,ar_EG,EG,African,John Garrett,2
 Michael Johnson,ar_EG,EG,African,Michael Johnson,2
 Ann Clarke,ar_EG,EG,African,Ann Clarke,2
 Tyler Edwards,ar_EG,EG,African,Tyler Edwards,2
 Nancy Potter,ar_EG,EG,African,Nancy Potter,3
 Daniel Medina,ar_EG,EG,African,Daniel Medina,2
 Casey Evans,ar_EG,EG,African,Casey Evans,3
 Michael Robertson,ar_EG,EG,African,Michael Robertson,2
 Mark Marquez,ar_EG,EG,African,Mark Marquez,3
 Sharon Davis,ar_EG,EG,African,Sharon Davis,3
 Joann Sanders,ar_EG,EG,African,Joann Sanders,3
 Darrell Sanchez,ar_EG,EG,African,Darrell Sanchez,3
 Jared Page,ar_EG,EG,African,Jared Page,3
 Terry Le,ar_EG,EG,African,Terry Le,3
 Douglas Robinson,ar_EG,EG,African,Douglas Robinson,3
 Michael Mcbride,ar_EG,EG,African,Michael Mcbride,4
 Kayla Berger,ar_EG,EG,African,Kayla Berger,3
 Jason Buchanan,ar_EG,EG,African,Jason Buchanan,2
 Julia Wilson,ar_EG,EG,African,Julia Wilson,3
 Randall Hernandez,ar_EG,EG,African,Randall Hernandez,3
 Laura Welch,ar_EG,EG,African,Laura Welch,2
 Jose Phillips,ar_EG,EG,African,Jose Phillips,2
 Phillip Clark,ar_EG,EG,African,Phillip Clark,3
 Gregory Price,ar_EG,EG,African,Gregory Price,3
 Roger Ray,ar_EG,EG,African,Roger Ray,2
 Angela Henson,ar_EG,EG,African,Angela Henson,4
 Whitney Murphy,ar_EG,EG,African,Whitney Murphy,4
 Sharon Johnson,ar_EG,EG,African,Sharon Johnson,3
 Jillian Terrell,ar_EG,EG,African,Jillian Terrell,4
 Audrey Zimmerman,ar_EG,EG,African,Audrey Zimmerman,3
 Elizabeth Cross,ar_EG,EG,African,Elizabeth Cross,2
 Susan Zavala,ar_EG,EG,African,Susan Zavala,4
 Sarah Johnston,ar_EG,EG,African,Sarah Johnston,2
 Zachary Baker,ar_EG,EG,African,Zachary Baker,4
 Andrea Martin,ar_EG,EG,African,Andrea Martin,3
 Anthony Evans,ar_EG,EG,African,Anthony Evans,2
 Jamie Scott,ar_EG,EG,African,Jamie Scott,2
 Tanya Mcbride,ar_EG,EG,African,Tanya Mcbride,5
 Kelsey Ponce,ar_EG,EG,African,Kelsey Ponce,4
 Deborah Christensen DDS,ar_EG,EG,African,Deborah Christensen DDS,5
 Lindsey Farley,ar_EG,EG,African,Lindsey Farley,5
 Cynthia Snyder,ar_EG,EG,African,Cynthia Snyder,3
 Mark Davis,ar_EG,EG,African,Mark Davis,2
 Krista Chapman,ar_EG,EG,African,Krista Chapman,3
 Elizabeth Brooks,ar_EG,EG,African,Elizabeth Brooks,2
 Meagan Johnston,ar_EG,EG,African,Meagan Johnston,3
 Robert Avila,ar_EG,EG,African,Robert Avila,3
 David Hoffman,ar_EG,EG,African,David Hoffman,2
 Carol Lawson,ar_EG,EG,African,Carol Lawson,2
 Valerie Underwood,ar_EG,EG,African,Valerie Underwood,4
 Daniel Hart,ar_EG,EG,African,Daniel Hart,2
 Michele Bruce,ar_EG,EG,African,Michele Bruce,4
 Rodney Collins,ar_EG,EG,African,Rodney Collins,3
 Thomas Hernandez,ar_EG,EG,African,Thomas Hernandez,2
 Lisa Schwartz MD,ar_EG,EG,African,Lisa Schwartz MD,3
 Bonnie Garcia,ar_EG,EG,African,Bonnie Garcia,3
 Robin Perez,ar_EG,EG,African,Robin Perez,2
 Carlos Nunez,ar_EG,EG,African,Carlos Nunez,4
 Jacqueline Chandler,ar_EG,EG,African,Jacqueline Chandler,4
 Amy Young,ar_EG,EG,African,Amy Young,2
 Gregory Larson,ar_EG,EG,African,Gregory Larson,3
 Lori Mosley,ar_EG,EG,African,Lori Mosley,4
 Kristin White,ar_EG,EG,African,Kristin White,3
 Rebecca Dixon,ar_EG,EG,African,Rebecca Dixon,3
 Kathleen Schmidt,ar_EG,EG,African,Kathleen Schmidt,4
 Cassandra Johnson,ar_EG,EG,African,Cassandra Johnson,3
 Jeremiah Cook,ar_EG,EG,African,Jeremiah Cook,3
 Luis Wilcox,ar_EG,EG,African,Luis Wilcox,4
 Michael Miller Jr.,ar_EG,EG,African,Michael Miller Jr.,4
 Paul Wilson,ar_EG,EG,African,Paul Wilson,2
 George Swanson,ar_EG,EG,African,George Swanson,3
 Mary Allen,ar_EG,EG,African,Mary Allen,2
 James Cummings,ar_EG,EG,African,James Cummings,2
 Brandon Cooley,ar_EG,EG,African,Brandon Cooley,3
 Dr. Anthony Lee DVM,ar_EG,EG,African,Anthony Lee DVM,4
 Laura Burke,ar_EG,EG,African,Laura Burke,2
 Jennifer Beard,ar_EG,EG,African,Jennifer Beard,2
 Julia Lopez,ar_EG,EG,African,Julia Lopez,3
 Maxwell Richardson,ar_EG,EG,African,Maxwell Richardson,3
 Mr. Andrew Mcdowell Jr.,ar_EG,EG,African,Andrew Mcdowell Jr.,6
 Sean Davila,ar_EG,EG,African,Sean Davila,3
 Tara Kelley,ar_EG,EG,African,Tara Kelley,3
Sonya Cowan,ar_EG,EG,African,Sonya Cowan,4
 Tyler Jones,ar_EG,EG,African,Tyler Jones,2
 Joshua Chang,ar_EG,EG,African,Joshua Chang,3
 Karen Lara,ar_EG,EG,African,Karen Lara,2
 Maria Savage,ar_EG,EG,African,Maria Savage,2
 Lisa Thompson,ar_EG,EG,African,Lisa Thompson,2
 April Cox,ar_EG,EG,African,April Cox,2
 Tiffany Taylor,ar_EG,EG,African,Tiffany Taylor,3
 Rhonda Gordon,ar_EG,EG,African,Rhonda Gordon,3
 Michelle Ross,ar_EG,EG,African,Michelle Ross,2
 Renee Gordon,ar_EG,EG,African,Renee Gordon,4
 Ms. Julie Clayton MD,ar_EG,EG,African,Julie Clayton MD,4
 Kristy Goodwin,ar_EG,EG,African,Kristy Goodwin,4
 Dr. Adam Hoffman,ar_EG,EG,African,Adam Hoffman,2
 Vicki Pham,ar_EG,EG,African,Vicki Pham,5
 Dustin Gonzales,ar_EG,EG,African,Dustin Gonzales,4
 Maria West,ar_EG,EG,African,Maria West,2
 Heather Lyons,ar_EG,EG,African,Heather Lyons,3
 Terri Lopez,ar_EG,EG,African,Terri Lopez,3
 Logan Johnson,ar_EG,EG,African,Logan Johnson,3
 Mrs. Deanna Dyer,ar_EG,EG,African,Deanna Dyer,4
 Tyler Cordova,ar_EG,EG,African,Tyler Cordova,3
 Nathaniel Rubio,ar_EG,EG,African,Nathaniel Rubio,4
 Brandon Lopez,ar_EG,EG,African,Brandon Lopez,2
 Mark Cohen,ar_EG,EG,African,Mark Cohen,2
 Joel Webster,ar_EG,EG,African,Joel Webster,3
 Patrick Lopez,ar_EG,EG,African,Patrick Lopez,2
 Angela Howell,ar_EG,EG,African,Angela Howell,3
 Susan Bates,ar_EG,EG,African,Susan Bates,2
 Jonathan Kline,ar_EG,EG,African,Jonathan Kline,3
 Mackenzie Fischer,ar_EG,EG,African,Mackenzie Fischer,4
 Stephanie Dickson,ar_EG,EG,African,Stephanie Dickson,5
 Michelle Reed,ar_EG,EG,African,Michelle Reed,2
 Andrew Roberts,ar_EG,EG,African,Andrew Roberts,2
 Pam Cox,ar_EG,EG,African,Pam Cox,3
 Steven Espinoza,ar_EG,EG,African,Steven Espinoza,4
 Nancy Cummings,ar_EG,EG,African,Nancy Cummings,3
 Melissa Guzman,ar_EG,EG,African,Melissa Guzman,4
 Craig Brown,ar_EG,EG,African,Craig Brown,2
 James Chandler,ar_EG,EG,African,James Chandler,2
 Michael Kane,ar_EG,EG,African,Michael Kane,2
 Christopher Hoffman,ar_EG,EG,African,Christopher Hoffman,2
 Gabriella Perez,ar_EG,EG,African,Gabriella Perez,4
 Shannon Hayes MD,ar_EG,EG,African,Shannon Hayes MD,4
 Alexander Bell,ar_EG,EG,African,Alexander Bell,2
 David Long,ar_EG,EG,African,David Long,2
 Joseph Carter,ar_EG,EG,African,Joseph Carter,2
 Peggy Diaz,ar_EG,EG,African,Peggy Diaz,4
 Kimberly Delacruz,ar_EG,EG,African,Kimberly Delacruz,6
 Megan Owens,ar_EG,EG,African,Megan Owens,3
 Kenneth Shepherd,ar_EG,EG,African,Kenneth Shepherd,3
 Tony Taylor,ar_EG,EG,African,Tony Taylor,2
 Lisa Gilmore,ar_EG,EG,African,Lisa Gilmore,3
 Richard Phillips,ar_EG,EG,African,Richard Phillips,2
 Jose Herrera,ar_EG,EG,African,Jose Herrera,2
 Brent Williams,ar_EG,EG,African,Brent Williams,3
 Robert Freeman,ar_EG,EG,African,Robert Freeman,2
 Jimmy Howard,ar_EG,EG,African,Jimmy Howard,2
 Ashley Lopez,ar_EG,EG,African,Ashley Lopez,3
 Benjamin Meyer,ar_EG,EG,African,Benjamin Meyer,3
 Mia Douglas,ar_EG,EG,African,Mia Douglas,3
 Eduardo Quinn,ar_EG,EG,African,Eduardo Quinn,4
 Jennifer Perez,ar_EG,EG,African,Jennifer Perez,2
 Rebecca Davis,ar_EG,EG,African,Rebecca Davis,3
 Bryan Fuller,ar_EG,EG,African,Bryan Fuller,3
 Kathryn Lang,ar_EG,EG,African,Kathryn Lang,4
 Francisco Blackburn,ar_EG,EG,African,Francisco Blackburn,3
 Traci Wells,ar_EG,EG,African,Traci Wells,3
 Lindsay Johnson,ar_EG,EG,African,Lindsay Johnson,3
 Corey Strong,ar_EG,EG,African,Corey Strong,3
 Joanne Ross,ar_EG,EG,African,Joanne Ross,3
 Alexander Torres,ar_EG,EG,African,Alexander Torres,2
 Scott Lucas,ar_EG,EG,African,Scott Lucas,2
 Margaret Ward,ar_EG,EG,African,Margaret Ward,3
 Daniel Bryant,ar_EG,EG,African,Daniel Bryant,2
 Jason Morgan,ar_EG,EG,African,Jason Morgan,2
 Kathryn Parks,ar_EG,EG,African,Kathryn Parks,4
 Sabrina Hernandez,ar_EG,EG,African,Sabrina Hernandez,3
 Donald Hanson,ar_EG,EG,African,Donald Hanson,2
 Mr. Cameron Ho,ar_EG,EG,African,Cameron Ho,3
 Angela Hampton,ar_EG,EG,African,Angela Hampton,3
 Gregory Johnson,ar_EG,EG,African,Gregory Johnson,3
 Roger Tran,ar_EG,EG,African,Roger Tran,2
 Anita Franklin,ar_EG,EG,African,Anita Franklin,3
 Dawn Irwin,ar_EG,EG,African,Dawn Irwin,4
 Julie Bailey,ar_EG,EG,African,Julie Bailey,3
 Christopher Russo,ar_EG,EG,African,Christopher Russo,2
 Sharon Gutierrez,ar_EG,EG,African,Sharon Gutierrez,4
 Jason Cohen,ar_EG,EG,African,Jason Cohen,2
 Susan Hamilton,ar_EG,EG,African,Susan Hamilton,2
 Rebecca Vasquez,ar_EG,EG,African,Rebecca Vasquez,4
 Daniel Gardner III,ar_EG,EG,African,Daniel Gardner III,3
 Jane Perez,ar_EG,EG,African,Jane Perez,2
 Whitney Moreno,ar_EG,EG,African,Whitney Moreno,4
 Barbara Kennedy,ar_EG,EG,African,Barbara Kennedy,3
 Jane Herring,ar_EG,EG,African,Jane Herring,3
 Joshua Buchanan,ar_EG,EG,African,Joshua Buchanan,3
 Jamie Thompson,ar_EG,EG,African,Jamie Thompson,2
 Logan Krueger,ar_EG,EG,African,Logan Krueger,5
 Reginald Scott,ar_EG,EG,African,Reginald Scott,4
 Jenna Mclaughlin,ar_EG,EG,African,Jenna Mclaughlin,6
 Willie Ellis,ar_EG,EG,African,Willie Ellis,3
 Darin Nixon,ar_EG,EG,African,Darin Nixon,3
 Brandon Mcpherson,ar_EG,EG,African,Brandon Mcpherson,4
 Scott Monroe,ar_EG,EG,African,Scott Monroe,2
 Marissa King,ar_EG,EG,African,Marissa King,3
 Gregory Bernard,ar_EG,EG,African,Gregory Bernard,3
 Tristan Sullivan,ar_EG,EG,African,Tristan Sullivan,3
 Melissa Blanchard,ar_EG,EG,African,Melissa Blanchard,4
 Deborah Ross,ar_EG,EG,African,Deborah Ross,3
 Robert Murray,ar_EG,EG,African,Robert Murray,2
George Guzman,ar_EG,EG,African,George Guzman,3
 Casey Hill,ar_EG,EG,African,Casey Hill,3
 Hayden Jones,ar_EG,EG,African,Hayden Jones,3
 Ashley Hill,ar_EG,EG,African,Ashley Hill,3
 Christopher Robinson,ar_EG,EG,African,Christopher Robinson,2
 Lisa Rogers,ar_EG,EG,African,Lisa Rogers,2
 Michael Jennings,ar_EG,EG,African,Michael Jennings,2
Hannah Irwin,ar_EG,EG,African,Hannah Irwin,4
 Russell Grant,ar_EG,EG,African,Russell Grant,3
 Mary Adkins,ar_EG,EG,African,Mary Adkins,3
 James Wright,ar_EG,EG,African,James Wright,2
 Mary Cohen,ar_EG,EG,African,Mary Cohen,2
 Dr. Jessica Clarke,ar_EG,EG,African,Jessica Clarke,2
 Diana Fuentes,ar_EG,EG,African,Diana Fuentes,4
 Ann Douglas,ar_EG,EG,African,Ann Douglas,2
 Jared Juarez,ar_EG,EG,African,Jared Juarez,4
 Samantha Torres,ar_EG,EG,African,Samantha Torres,4
 James Freeman,ar_EG,EG,African,James Freeman,2
 Charles Tucker,ar_EG,EG,African,Charles Tucker,2
 David Moses,ar_EG,EG,African,David Moses,2
 Taylor Olson,ar_EG,EG,African,Taylor Olson,2
 Norma Clark,ar_EG,EG,African,Norma Clark,3
 Amanda Hamilton,ar_EG,EG,African,Amanda Hamilton,3
 Charles Golden,ar_EG,EG,African,Charles Golden,2
 Wendy Carlson,ar_EG,EG,African,Wendy Carlson,4
 Julie Rogers,ar_EG,EG,African,Julie Rogers,3
 Jodi Armstrong,ar_EG,EG,African,Jodi Armstrong,3
 Alicia Gordon,ar_EG,EG,African,Alicia Gordon,4
 Daniel Ewing,ar_EG,EG,African,Daniel Ewing,3
 Kimberly Parsons,ar_EG,EG,African,Kimberly Parsons,4
 Christopher Warner,ar_EG,EG,African,Christopher Warner,2
 Daryl Mcdonald,ar_EG,EG,African,Daryl Mcdonald,5
 Heather Ford,ar_EG,EG,African,Heather Ford,3
 Kayla Serrano,ar_EG,EG,African,Kayla Serrano,5
 Tiffany Hall,ar_EG,EG,African,Tiffany Hall,3
 Bryan Ayers,ar_EG,EG,African,Bryan Ayers,4
 Roger Stephens,ar_EG,EG,African,Roger Stephens,2
 Robert Galloway,ar_EG,EG,African,Robert Galloway,4
 Heather Le,ar_EG,EG,African,Heather Le,3
 Ashley Poole,ar_EG,EG,African,Ashley Poole,4
 Oscar Santiago,ar_EG,EG,African,Oscar Santiago,3
 Ashley Hull,ar_EG,EG,African,Ashley Hull,3
 Jerry Peterson MD,ar_EG,EG,African,Jerry Peterson MD,3
 Travis Garcia,ar_EG,EG,African,Travis Garcia,3
 Mrs. Heather Ramirez,ar_EG,EG,African,Heather Ramirez,3
 Samuel Gutierrez,ar_EG,EG,African,Samuel Gutierrez,4
 Heather Cox,ar_EG,EG,African,Heather Cox,3
 Carolyn Davis,ar_EG,EG,African,Carolyn Davis,3
 Terry Manning,ar_EG,EG,African,Terry Manning,3
 Henry Dominguez,ar_EG,EG,African,Henry Dominguez,3
 Colin Mckenzie,ar_EG,EG,African,Colin Mckenzie,5
 Lauren Austin,ar_EG,EG,African,Lauren Austin,3
 Matthew Dixon,ar_EG,EG,African,Matthew Dixon,2
 Kristina Matthews,ar_EG,EG,African,Kristina Matthews,3
 Valerie Ward,ar_EG,EG,African,Valerie Ward,3
 Donna Cherry,ar_EG,EG,African,Donna Cherry,3
 Sarah Benjamin,ar_EG,EG,African,Sarah Benjamin,2
 Jennifer Padilla,ar_EG,EG,African,Jennifer Padilla,3
 Olivia Murphy,ar_EG,EG,African,Olivia Murphy,3
 Joshua Butler,ar_EG,EG,African,Joshua Butler,3
 Christopher Barnes,ar_EG,EG,African,Christopher Barnes,2
 Mary Steele,ar_EG,EG,African,Mary Steele,2
 Thomas Miranda,ar_EG,EG,African,Thomas Miranda,2
 Drew Williams,ar_EG,EG,African,Drew Williams,3
 Craig Pacheco,ar_EG,EG,African,Craig Pacheco,4
 Sandra Pineda,ar_EG,EG,African,Sandra Pineda,5
Jessica Boone,ar_EG,EG,African,Jessica Boone,2
 Mr. Ryan White,ar_EG,EG,African,Ryan White,2
 Christine Fitzgerald,ar_EG,EG,African,Christine Fitzgerald,3
 Anna Kennedy,ar_EG,EG,African,Anna Kennedy,2
 Amanda Lowe,ar_EG,EG,African,Amanda Lowe,3
 Jennifer Carlson,ar_EG,EG,African,Jennifer Carlson,2
